skill,param,class,value
Select-Given-Value-Reason,prior,default,0.6646352805328198
Select-Given-Value-Reason,learns,default,0.06242421231568063
Select-Given-Value-Reason,guesses,default,0.36295345691588526
Select-Given-Value-Reason,slips,default,0.1357373122641744
Select-Given-Value-Reason,forgets,default,0.0
Set-Numerator-Unit-of-Unit-Conversion,prior,default,0.27554514449840817
Set-Numerator-Unit-of-Unit-Conversion,learns,default,0.0783039008899741
Set-Numerator-Unit-of-Unit-Conversion,guesses,default,0.4232609163453168
Set-Numerator-Unit-of-Unit-Conversion,slips,default,0.1702412545537594
Set-Numerator-Unit-of-Unit-Conversion,forgets,default,0.0
Set-Denominator-Unit-of-Unit-Conversion,prior,default,0.6408461760318315
Set-Denominator-Unit-of-Unit-Conversion,learns,default,0.41014304759641923
Set-Denominator-Unit-of-Unit-Conversion,guesses,default,0.4901016241988485
Set-Denominator-Unit-of-Unit-Conversion,slips,default,0.1594463515213303
Set-Denominator-Unit-of-Unit-Conversion,forgets,default,0.0
Set-Numerator-Value-of-Unit-Conversion,prior,default,0.21993628719398386
Set-Numerator-Value-of-Unit-Conversion,learns,default,0.05142201230952187
Set-Numerator-Value-of-Unit-Conversion,guesses,default,0.24515839822009203
Set-Numerator-Value-of-Unit-Conversion,slips,default,0.3777376246603925
Set-Numerator-Value-of-Unit-Conversion,forgets,default,0.0
Set-Denominator-Value-of-Unit-Conversion,prior,default,0.15735733818139702
Set-Denominator-Value-of-Unit-Conversion,learns,default,0.3923571095781379
Set-Denominator-Value-of-Unit-Conversion,guesses,default,0.443926373974013
Set-Denominator-Value-of-Unit-Conversion,slips,default,0.1275300681350155
Set-Denominator-Value-of-Unit-Conversion,forgets,default,0.0
Set-Numerator-Substance-of-Unit-Conversion,prior,default,0.5209974533085319
Set-Numerator-Substance-of-Unit-Conversion,learns,default,0.06593489492921449
Set-Numerator-Substance-of-Unit-Conversion,guesses,default,0.2639494920580008
Set-Numerator-Substance-of-Unit-Conversion,slips,default,0.20406299692359772
Set-Numerator-Substance-of-Unit-Conversion,forgets,default,0.0
Set-Denominator-Substance-of-Unit-Conversion,prior,default,0.5587930207489162
Set-Denominator-Substance-of-Unit-Conversion,learns,default,0.12565239758366836
Set-Denominator-Substance-of-Unit-Conversion,guesses,default,0.5006722947948002
Set-Denominator-Substance-of-Unit-Conversion,slips,default,0.07277904696334594
Set-Denominator-Substance-of-Unit-Conversion,forgets,default,0.0
Select-Unit-Conversion-Reason,prior,default,0.8108766863386547
Select-Unit-Conversion-Reason,learns,default,0.08149950393412425
Select-Unit-Conversion-Reason,guesses,default,0.30381615140761725
Select-Unit-Conversion-Reason,slips,default,0.13753359977689683
Select-Unit-Conversion-Reason,forgets,default,0.0
Cancel-Units-for-Numerator-of-Solution,prior,default,0.09644415936038037
Cancel-Units-for-Numerator-of-Solution,learns,default,0.07227632347460655
Cancel-Units-for-Numerator-of-Solution,guesses,default,0.38300307526333927
Cancel-Units-for-Numerator-of-Solution,slips,default,0.0775854624902954
Cancel-Units-for-Numerator-of-Solution,forgets,default,0.0
unnamed,prior,default,0.6274486284248849
unnamed,learns,default,0.4026141976870415
unnamed,guesses,default,0.3175667871198428
unnamed,slips,default,0.14912948009459318
unnamed,forgets,default,0.0
Calculate-Value-In-Solution,prior,default,0.04476213443039694
Calculate-Value-In-Solution,learns,default,0.025486253391747885
Calculate-Value-In-Solution,guesses,default,0.2093861934164486
Calculate-Value-In-Solution,slips,default,0.011980495755124436
Calculate-Value-In-Solution,forgets,default,0.0
Cancel-Substance-for-Numerator-of-Solution,prior,default,0.44128806217525374
Cancel-Substance-for-Numerator-of-Solution,learns,default,0.0611276074371515
Cancel-Substance-for-Numerator-of-Solution,guesses,default,0.49157419935052116
Cancel-Substance-for-Numerator-of-Solution,slips,default,0.12142184324581748
Cancel-Substance-for-Numerator-of-Solution,forgets,default,0.0
Select-Done,prior,default,0.8082159237488596
Select-Done,learns,default,0.43476289399150764
Select-Done,guesses,default,0.436426393498005
Select-Done,slips,default,0.0751681221947508
Select-Done,forgets,default,0.0
Cancel-Units-for-Denominator-of-Solution,prior,default,0.6722467639729038
Cancel-Units-for-Denominator-of-Solution,learns,default,0.15971709249384217
Cancel-Units-for-Denominator-of-Solution,guesses,default,0.02096798714159434
Cancel-Units-for-Denominator-of-Solution,slips,default,0.38459713317097216
Cancel-Units-for-Denominator-of-Solution,forgets,default,0.0
Cancel-Substance-for-Denominator-of-Solution,prior,default,0.34249484114024475
Cancel-Substance-for-Denominator-of-Solution,learns,default,0.21450884234613324
Cancel-Substance-for-Denominator-of-Solution,guesses,default,0.27681266646969926
Cancel-Substance-for-Denominator-of-Solution,slips,default,0.2569217888178062
Cancel-Substance-for-Denominator-of-Solution,forgets,default,0.0
Calculate-Value-for-Denominator-of-Solution,prior,default,0.607756523690965
Calculate-Value-for-Denominator-of-Solution,learns,default,0.1377840942525523
Calculate-Value-for-Denominator-of-Solution,guesses,default,0.1944499687996555
Calculate-Value-for-Denominator-of-Solution,slips,default,0.3586595461388438
Calculate-Value-for-Denominator-of-Solution,forgets,default,0.0
Select-Molecular-Weight-Reason,prior,default,0.017066303025427037
Select-Molecular-Weight-Reason,learns,default,0.20622567706534492
Select-Molecular-Weight-Reason,guesses,default,0.17269130140866026
Select-Molecular-Weight-Reason,slips,default,0.06884631869422761
Select-Molecular-Weight-Reason,forgets,default,0.0
Set-Numerator-Substance-of-Molecular-Weight,prior,default,0.5386417637031322
Set-Numerator-Substance-of-Molecular-Weight,learns,default,0.19682666536485866
Set-Numerator-Substance-of-Molecular-Weight,guesses,default,0.2993282682225286
Set-Numerator-Substance-of-Molecular-Weight,slips,default,0.1369701657536996
Set-Numerator-Substance-of-Molecular-Weight,forgets,default,0.0
Set-Numerator-Unit-of-Molecular-Weight,prior,default,0.4155909394313135
Set-Numerator-Unit-of-Molecular-Weight,learns,default,0.19753954808000088
Set-Numerator-Unit-of-Molecular-Weight,guesses,default,0.4570273353992438
Set-Numerator-Unit-of-Molecular-Weight,slips,default,0.2215674308454093
Set-Numerator-Unit-of-Molecular-Weight,forgets,default,0.0
Set-Numerator-Value-of-Molecular-Weight,prior,default,0.6308166531443744
Set-Numerator-Value-of-Molecular-Weight,learns,default,0.047859870229630376
Set-Numerator-Value-of-Molecular-Weight,guesses,default,0.12588640844545426
Set-Numerator-Value-of-Molecular-Weight,slips,default,0.39798736053577793
Set-Numerator-Value-of-Molecular-Weight,forgets,default,0.0
Set-Denominator-Unit-of-Molecular-Weight,prior,default,0.7125589850945909
Set-Denominator-Unit-of-Molecular-Weight,learns,default,0.40871867815997487
Set-Denominator-Unit-of-Molecular-Weight,guesses,default,0.188692282056035
Set-Denominator-Unit-of-Molecular-Weight,slips,default,0.12379702627853288
Set-Denominator-Unit-of-Molecular-Weight,forgets,default,0.0
Set-Denominator-Substance-of-Molecular-Weight,prior,default,0.7114223385459129
Set-Denominator-Substance-of-Molecular-Weight,learns,default,0.2905422179147589
Set-Denominator-Substance-of-Molecular-Weight,guesses,default,0.41272006742447975
Set-Denominator-Substance-of-Molecular-Weight,slips,default,0.06926583182983376
Set-Denominator-Substance-of-Molecular-Weight,forgets,default,0.0
Set-Denominator-Value-of-Molecular-Weight,prior,default,0.6306670322706301
Set-Denominator-Value-of-Molecular-Weight,learns,default,0.21553293844827784
Set-Denominator-Value-of-Molecular-Weight,guesses,default,0.08419116949613614
Set-Denominator-Value-of-Molecular-Weight,slips,default,0.3621250776741441
Set-Denominator-Value-of-Molecular-Weight,forgets,default,0.0
Set-Numerator-Value-of-Avogadro's-Number,prior,default,0.08128959653162067
Set-Numerator-Value-of-Avogadro's-Number,learns,default,0.05952477023381987
Set-Numerator-Value-of-Avogadro's-Number,guesses,default,0.07459066492557952
Set-Numerator-Value-of-Avogadro's-Number,slips,default,0.036547077497708316
Set-Numerator-Value-of-Avogadro's-Number,forgets,default,0.0
Set-Numerator-Substance-of-Avogadro's-Number,prior,default,0.4241496642997953
Set-Numerator-Substance-of-Avogadro's-Number,learns,default,0.20370412663110715
Set-Numerator-Substance-of-Avogadro's-Number,guesses,default,0.3265567316058432
Set-Numerator-Substance-of-Avogadro's-Number,slips,default,0.08834051942429576
Set-Numerator-Substance-of-Avogadro's-Number,forgets,default,0.0
Set-Numerator-Unit-of-Avogadro's-Number,prior,default,0.21828019352470346
Set-Numerator-Unit-of-Avogadro's-Number,learns,default,0.08015547041362983
Set-Numerator-Unit-of-Avogadro's-Number,guesses,default,0.13243940384870456
Set-Numerator-Unit-of-Avogadro's-Number,slips,default,0.09358613131262314
Set-Numerator-Unit-of-Avogadro's-Number,forgets,default,0.0
Set-Denominator-Value-of-Avogadro's-Number,prior,default,0.3104949805687522
Set-Denominator-Value-of-Avogadro's-Number,learns,default,0.39048446756919525
Set-Denominator-Value-of-Avogadro's-Number,guesses,default,0.23489802472580446
Set-Denominator-Value-of-Avogadro's-Number,slips,default,0.030102097833755764
Set-Denominator-Value-of-Avogadro's-Number,forgets,default,0.0
Set-Denominator-Unit-of-Avogadro's-Number,prior,default,0.646369024455484
Set-Denominator-Unit-of-Avogadro's-Number,learns,default,0.4801923074260598
Set-Denominator-Unit-of-Avogadro's-Number,guesses,default,0.030383349030820697
Set-Denominator-Unit-of-Avogadro's-Number,slips,default,0.06663095911520242
Set-Denominator-Unit-of-Avogadro's-Number,forgets,default,0.0
Set-Denominator-Substance-of-Avogadro's-Number,prior,default,0.604885334953086
Set-Denominator-Substance-of-Avogadro's-Number,learns,default,0.44908513628704355
Set-Denominator-Substance-of-Avogadro's-Number,guesses,default,0.26216550111242876
Set-Denominator-Substance-of-Avogadro's-Number,slips,default,0.11848347558501711
Set-Denominator-Substance-of-Avogadro's-Number,forgets,default,0.0
Select-Avogadro's-Number-Reason,prior,default,0.5670459458456741
Select-Avogadro's-Number-Reason,learns,default,0.18203017677200328
Select-Avogadro's-Number-Reason,guesses,default,0.03646078665990758
Select-Avogadro's-Number-Reason,slips,default,0.16337114200270259
Select-Avogadro's-Number-Reason,forgets,default,0.0
Set-Numerator-Value-of-Composition-Stoichiometry,prior,default,0.24173408741081012
Set-Numerator-Value-of-Composition-Stoichiometry,learns,default,0.10886596366188059
Set-Numerator-Value-of-Composition-Stoichiometry,guesses,default,0.06412257730750676
Set-Numerator-Value-of-Composition-Stoichiometry,slips,default,0.523052486098105
Set-Numerator-Value-of-Composition-Stoichiometry,forgets,default,0.0
Set-Numerator-Unit-of-Composition-Stoichiometry,prior,default,0.1932270989686674
Set-Numerator-Unit-of-Composition-Stoichiometry,learns,default,0.32494839103657874
Set-Numerator-Unit-of-Composition-Stoichiometry,guesses,default,0.5879263689322946
Set-Numerator-Unit-of-Composition-Stoichiometry,slips,default,0.11093248920867563
Set-Numerator-Unit-of-Composition-Stoichiometry,forgets,default,0.0
Select-Composition-Stoichiometry-Reason,prior,default,0.25130392033415705
Select-Composition-Stoichiometry-Reason,learns,default,0.14495849236217365
Select-Composition-Stoichiometry-Reason,guesses,default,0.13517439444946452
Select-Composition-Stoichiometry-Reason,slips,default,0.3221222409824492
Select-Composition-Stoichiometry-Reason,forgets,default,0.0
Set-Denominator-Unit-of-Composition-Stoichiometry,prior,default,0.5758484022299243
Set-Denominator-Unit-of-Composition-Stoichiometry,learns,default,0.00082140183534041
Set-Denominator-Unit-of-Composition-Stoichiometry,guesses,default,0.4919880849843017
