skill,param,class,value
Calculate-Value-In-Solution,prior,default,0.059173516
Calculate-Value-In-Solution,learns,default,0.031973867
Calculate-Value-In-Solution,guesses,default,0.20007553
Calculate-Value-In-Solution,slips,default,0.051112244
Calculate-Value-In-Solution,forgets,default,0.0
Set-Numerator-Value-of-Unit-Conversion,prior,default,0.11432878
Set-Numerator-Value-of-Unit-Conversion,learns,default,0.039212358
Set-Numerator-Value-of-Unit-Conversion,guesses,default,0.25326208
Set-Numerator-Value-of-Unit-Conversion,slips,default,0.11071346
Set-Numerator-Value-of-Unit-Conversion,forgets,default,0.0
Select-Given-Value-Reason,prior,default,0.65240164
Select-Given-Value-Reason,learns,default,0.076098026
Select-Given-Value-Reason,guesses,default,0.30137525
Select-Given-Value-Reason,slips,default,0.1313217
Select-Given-Value-Reason,forgets,default,0.0
Cancel-Substance-for-Numerator-of-Solution,prior,default,0.71704743
Cancel-Substance-for-Numerator-of-Solution,learns,default,0.056653555
Cancel-Substance-for-Numerator-of-Solution,guesses,default,0.30435188
Cancel-Substance-for-Numerator-of-Solution,slips,default,0.1826648
Cancel-Substance-for-Numerator-of-Solution,forgets,default,0.0
Cancel-Units-for-Numerator-of-Solution,prior,default,0.11839379
Cancel-Units-for-Numerator-of-Solution,learns,default,0.080158674
Cancel-Units-for-Numerator-of-Solution,guesses,default,0.33877335
Cancel-Units-for-Numerator-of-Solution,slips,default,0.074667866
Cancel-Units-for-Numerator-of-Solution,forgets,default,0.0
Set-Numerator-Unit-of-Unit-Conversion,prior,default,0.21057494
Set-Numerator-Unit-of-Unit-Conversion,learns,default,0.10600145
Set-Numerator-Unit-of-Unit-Conversion,guesses,default,0.35419414
Set-Numerator-Unit-of-Unit-Conversion,slips,default,0.10564103
Set-Numerator-Unit-of-Unit-Conversion,forgets,default,0.0
Set-Denominator-Unit-of-Unit-Conversion,prior,default,0.82321534
Set-Denominator-Unit-of-Unit-Conversion,learns,default,0.44209297
Set-Denominator-Unit-of-Unit-Conversion,guesses,default,0.093993664
Set-Denominator-Unit-of-Unit-Conversion,slips,default,0.16326181
Set-Denominator-Unit-of-Unit-Conversion,forgets,default,0.0
Set-Numerator-Substance-of-Unit-Conversion,prior,default,0.53347573
Set-Numerator-Substance-of-Unit-Conversion,learns,default,0.063362939
Set-Numerator-Substance-of-Unit-Conversion,guesses,default,0.22465281
Set-Numerator-Substance-of-Unit-Conversion,slips,default,0.18203232
Set-Numerator-Substance-of-Unit-Conversion,forgets,default,0.0
Set-Denominator-Substance-of-Unit-Conversion,prior,default,0.79319396
Set-Denominator-Substance-of-Unit-Conversion,learns,default,0.12247626
Set-Denominator-Substance-of-Unit-Conversion,guesses,default,0.21583366
Set-Denominator-Substance-of-Unit-Conversion,slips,default,0.12666046
Set-Denominator-Substance-of-Unit-Conversion,forgets,default,0.0
Set-Denominator-Value-of-Unit-Conversion,prior,default,0.48774181
Set-Denominator-Value-of-Unit-Conversion,learns,default,0.35845374
Set-Denominator-Value-of-Unit-Conversion,guesses,default,0.2016652
Set-Denominator-Value-of-Unit-Conversion,slips,default,0.14014584
Set-Denominator-Value-of-Unit-Conversion,forgets,default,0.0
Select-Unit-Conversion-Reason,prior,default,0.82685639
Select-Unit-Conversion-Reason,learns,default,0.14492524
Select-Unit-Conversion-Reason,guesses,default,0.14898329
Select-Unit-Conversion-Reason,slips,default,0.1423397
Select-Unit-Conversion-Reason,forgets,default,0.0
unnamed,prior,default,0.62416154
unnamed,learns,default,0.63634088
unnamed,guesses,default,0.08812446
unnamed,slips,default,0.12014516
unnamed,forgets,default,0.0
Select-Done,prior,default,0.83965252
Select-Done,learns,default,0.50203047
Select-Done,guesses,default,0.13035508
Select-Done,slips,default,0.080973196
Select-Done,forgets,default,0.0
Set-Numerator-Value-of-Molecular-Weight,prior,default,0.33991266
Set-Numerator-Value-of-Molecular-Weight,learns,default,0.24486474
Set-Numerator-Value-of-Molecular-Weight,guesses,default,0.097152976
Set-Numerator-Value-of-Molecular-Weight,slips,default,0.20296481
Set-Numerator-Value-of-Molecular-Weight,forgets,default,0.0
Set-Numerator-Unit-of-Molecular-Weight,prior,default,0.69372943
Set-Numerator-Unit-of-Molecular-Weight,learns,default,0.54971674
Set-Numerator-Unit-of-Molecular-Weight,guesses,default,0.090821163
Set-Numerator-Unit-of-Molecular-Weight,slips,default,0.24867425
Set-Numerator-Unit-of-Molecular-Weight,forgets,default,0.0
Set-Denominator-Value-of-Molecular-Weight,prior,default,0.32237898
Set-Denominator-Value-of-Molecular-Weight,learns,default,0.3054613
Set-Denominator-Value-of-Molecular-Weight,guesses,default,0.12231791
Set-Denominator-Value-of-Molecular-Weight,slips,default,0.20410754
